60,343.06
62,343.06
64,343.06
66,343.06
68,343.06
70,343.06
72,343.06
74,343.11
76,343.16
78,343.21
80,343.24
80.5,343.24
81,343.26
81.5,343.29
82,343.28
82.5,343.31
83,343.33
83.5,343.36
84,343.36
84.5,343.34
85,343.36
85.5,343.37
86,343.36
86.5,343.39
87,343.39
87.5,343.42
88,343.43
88.5,343.44
89,343.47
89.5,343.51
90,343.47
90.5,343.48
91,343.5
91.5,343.5
92,343.52
92.5,343.53
93,343.55
93.5,343.55
94,343.57
94.5,343.58
95,343.61
95.5,343.62
96,343.6
96.5,343.62
97,343.64
97.5,343.66
98,343.69
98.5,343.71
99.5,5
100,5
100.5,5
101,5
101.5,5
102,5
102.5,5
103,5
103.5,5
104,5
104.5,5
105,5
105.5,5
106,5
106.5,5
107,5
107.5,5
108,5
108.5,5
109,5
109.5,5
110,5
110.5,5
111,5
111.5,5
112,5
112.5,5
113,5
113.5,5
114,5
114.5,5
115,5
115.5,5
116,5
116.5,5
117,5
117.5,5
118,5
118.5,5
119,5
119.5,5
120,5
122,5
124,5
126,5.16
128,5.32
130,5.48
132,5.48
134,5.48
136,5.48
138,5.48
140,5.48
