40,361.3
41,361.3
42,361.35
43,361.35
44,361.37
45,361.37
46,361.39
47,361.41
48,361.43
49,361.45
50,361.52
51,361.59
52,361.58
53,361.6
54,361.64
55,361.67
56,361.66
57,361.71
58,361.72
59,361.76
60,361.73
61,361.77
62,361.82
63,361.82
64,361.8
65,361.84
66,361.88
67,362
68,362.02
69,362.03
70,362.04
71,362.06
72,362.08
73,362.12
74,362.11
75,362.11
76,362.17
77,362.19
78,362.25
79,362.26
80,362.3
81,362.32
82,362.33
83,362.36
84,362.38
85,362.38
86,362.45
87,362.43
88,362.52
89,362.53
90,362.57
91,362.57
92,362.59
93,362.78
94,362.76
95,362.74
96,362.81
97,362.85
98,362.89
99,362.94
100,362.99
101,363.12
102,363.11
103,363.17
104,363.32
105,363.4
106,363.5
107,363.56
108,363.62
109,363.76
110,363.78
111,363.89
112,363.98
113,364.03
114,364.1
115,364.19
116,364.27
117,364.37
118,364.41
119,364.5
120,364.64
121,364.72
122,364.76
123,364.82
124,364.95
125,365.01
126,365.09
127,365.2
128,365.24
129,365.32
130,365.4
131,365.48
132,365.58
133,365.65
134,365.75
135,365.82
136,365.88
137,366.01
138,366.06
139,366.09
140,366.22
141,366.38
142,366.44
143,366.48
144,366.61
145,366.64
146,366.79
147,366.86
148,366.91
149,367.04
150,367.05
151,367.08
152,367.18
153,367.29
154,367.36
155,367.47
156,367.54
157,367.53
158,367.73
159,367.87
160,367.95
